,,Lead-lag,Lead-lag,Lead-lag,Lead-lag,Simultaneous,Simultaneous,Simultaneous,Simultaneous
,,D,D,W,W,D,D,W,W
,,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell
gat,F1-score,0.57,0.61,0.63,0.62,0.72,0.79,0.61,0.75
gat,AUC,0.77,0.79,0.83,0.8,0.9,0.91,0.85,0.9
gcn,F1-score,0.54,0.58,0.56,0.6,0.67,0.76,0.57,0.72
gcn,AUC,0.76,0.78,0.79,0.79,0.88,0.9,0.82,0.88
